PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Charlie Smyth,2572330,K,NO,NYJ,1.52,0.19,,0.38,0.57,0.76,0.19,,,,7.41,25,1,20.00,12.59
Ka'imi Fairbairn,2556521,K,HOU,LV,2.43,0.13,,0.46,0.59,0.53,0.39,,,0.07,9.06,5,2,16.00,6.94
Chad Ryland,2570125,K,ARI,ATL,2.13,0.13,,0.38,0.5,0.5,0.31,,,0.06,7.74,21,3,16.00,8.26
Cairo Santos,2550636,K,CHI,GB,1.94,0.06,,0.44,0.5,0.56,0.25,,,0.06,7.88,20,4,14.00,6.12
Ryan Fitzgerald,2573979,K,CAR,TB,2,0.06,,0.38,0.56,0.5,0.19,,,0.06,7.40,26,5,13.00,5.6
Harrison Mevis,2572932,K,LAR,@SEA,2.18,0.27,,0.27,0.55,0.55,0.27,,,,7.11,29,6,13.00,5.89
Harrison Butker,2558245,K,KC,@TEN,2.6,0.12,0.06,0.36,0.48,0.42,0.36,,,,8.30,11,7,12.00,3.7
Eddy Pineiro,2560842,K,SF,@IND,2.32,0.26,,0.26,0.77,0.52,0.26,,,,8.01,18,8,12.00,3.99
Blake Grupe,2571234,K,IND,SF,2.02,0.13,,0.39,0.52,0.46,0.33,,,,7.72,22,9,11.00,3.28
Cam Little,2572147,K,JAX,@DEN,2.43,0.13,,0.46,0.53,0.46,0.33,,,0.07,8.30,12,10,11.00,2.7
Will Reichard,2572273,K,MIN,@NYG,2.31,0.13,,0.38,0.5,0.5,0.38,,,0.06,8.27,14,11,11.00,2.73
Andy Borregales,2574365,K,NE,@BAL,2.4,0.14,,0.41,0.55,0.55,0.21,,,0.07,7.90,19,12,10.00,2.1
Chris Boswell,2550545,K,PIT,@DET,2.23,0.07,,0.46,0.59,0.53,0.39,,,,9.11,4,13,10.00,0.89
Cameron Dicker,2568435,K,LAC,@DAL,2.44,0.13,0.06,0.38,0.56,0.56,0.38,,,,9.13,3,14,10.00,0.87
Chase McLaughlin,2563203,K,TB,@CAR,2.63,0.13,,0.38,0.5,0.5,0.38,,,,8.65,7,15,10.00,1.35
Brandon McManus,2541556,K,GB,@CHI,2.25,0.13,,0.44,0.5,0.5,0.31,,,,8.10,16,16,10.00,1.9
Evan McPherson,2565953,K,CIN,@MIA,2.84,0.13,,0.4,0.53,0.53,0.33,,,0.07,8.81,6,17,10.00,1.19
Wil Lutz,2556601,K,DEN,JAX,2.35,0.13,,0.46,0.52,0.46,0.39,,,0.07,8.49,10,18,9.00,0.51
Andre Szmyt,2570470,K,CLE,BUF,,,,,,,,,,,0.00,53,19,9.00,9.0
Zane Gonzalez,2558178,K,ATL,@ARI,2.34,0.26,,0.26,0.78,0.52,0.26,,,,8.06,17,20,7.00,-1.06
Ben Sauls,2574499,K,NYG,MIN,2.55,,,0.32,0.64,0.32,,,,,6.71,30,21,7.00,0.29
Jake Bates,2571759,K,DET,PIT,3.21,0.14,,0.34,0.55,0.55,0.41,,,0.07,9.50,2,22,6.00,-3.5
Nick Folk,2507225,K,NYJ,@NO,2,0.06,,0.36,0.55,0.49,0.18,,,0.06,7.23,28,23,6.00,-1.23
Tyler Loop,2573940,K,BAL,NE,2.92,0.19,,0.32,0.52,0.58,0.26,,,0.06,8.30,13,24,6.00,-2.3
Joey Slye,2563132,K,TEN,KC,1.65,0.11,,0.34,0.4,0.4,0.28,,,0.06,6.37,31,25,6.00,-0.37
Brandon Aubrey,2571750,K,DAL,LAC,2.47,0.06,,0.45,0.52,0.58,0.58,,,0.06,10.30,1,26,5.00,-5.3
Jake Moody,2570308,K,WAS,PHI,2.62,0.12,,0.3,0.54,0.48,0.24,,,0.06,7.72,23,27,4.00,-3.72
Riley Patterson,2567013,K,MIA,CIN,2.55,0.2,,0.39,0.59,0.39,0.2,,,0.2,7.25,27,28,3.60,-3.65
Mike Badgley,2560965,K,FA,Bye,2.59,0.19,,0.37,0.56,0.65,0.19,,,0.09,,15,29,3.00,
Daniel Carlson,2560993,K,LV,@HOU,1.83,0.05,,0.38,0.38,0.43,0.38,,,,7.47,24,30,3.00,-4.47
Jake Elliott,2558172,K,PHI,@WAS,2.88,0.13,,0.46,0.52,0.52,0.26,,,0.07,8.61,8,31,2.00,-6.61
Jason Myers,2553112,K,SEA,LAR,2.35,0.14,,0.5,0.57,0.57,0.28,,,0.07,8.61,9,32,2.00,-6.61
Tyler Bass,2563596,K,BUF,@CLE,,,,,,,,,,,0.00,32,33,0.00,0.0
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,33,34,0.00,
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,34,35,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,35,36,0.00,
Graham Gano,71309,K,NYG,MIN,,,,,,,,,,,0.00,36,37,0.00,0.0
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,,37,38,0.00,
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,38,39,0.00,
Lucas Havrisik,2569534,K,GB,@CHI,,,,,,,,,,,0.00,39,40,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,40,41,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,41,42,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,42,43,0.00,
Joshua Karty,2572201,K,ARI,ATL,,,,,,,,,,,0.00,43,44,0.00,0.0
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,44,45,0.00,
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,,45,46,0.00,
Lenny Krieg,2573911,K,ATL,@ARI,,,,,,,,,,,0.00,46,47,0.00,0.0
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,,47,48,0.00,
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,48,49,0.00,
Matt Prater,2506677,K,BUF,@CLE,,,,,,,,,,,0.00,49,50,0.00,0.0
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,,50,51,0.00,
Jason Sanders,2561153,K,MIA,CIN,,,,,,,,,,,0.00,51,52,0.00,0.0
Spencer Shrader,2573175,K,IND,SF,,,,,,,,,,,0.00,52,53,0.00,0.0
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,,54,54,0.00,
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,,55,55,0.00,
Matthew Wright,2562968,K,BUF,@CLE,,,,,,,,,,,0.00,56,56,0.00,0.0
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,57,57,0.00,
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,,58,58,0.00,
