PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Brandon Aubrey,2571750,K,DAL,@NYG,2.54,0.07,,0.47,0.54,0.6,0.6,,,0.07,10.62,1,1,0.00,-10.62
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,,32,2,0.00,
Tyler Bass,2563596,K,BUF,NYJ,,,,,,,,,,,0.00,33,3,0.00,0.0
Jake Bates,2571759,K,DET,@CHI,2.84,0.12,,0.3,0.48,0.48,0.36,,,0.06,8.36,10,4,0.00,-8.36
Andy Borregales,2574365,K,NE,MIA,2.62,0.15,,0.45,0.6,0.6,0.22,,,0.07,8.60,8,5,0.00,-8.6
Chris Boswell,2550545,K,PIT,BAL,2.05,0.06,,0.42,0.54,0.48,0.36,,,,8.35,11,6,0.00,-8.35
Harrison Butker,2558245,K,KC,@LV,2.47,0.12,0.06,0.35,0.46,0.4,0.35,,,,7.95,17,7,0.00,-7.95
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,34,8,0.00,
Daniel Carlson,2560993,K,LV,KC,1.98,0.06,,0.41,0.41,0.47,0.41,,,,8.07,14,9,0.00,-8.07
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,35,10,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,36,11,0.00,
Cameron Dicker,2568435,K,LAC,@DEN,1.9,0.1,0.05,0.29,0.44,0.44,0.29,,,,7.10,24,12,0.00,-7.1
Jake Elliott,2558172,K,PHI,WAS,2.67,0.12,,0.42,0.48,0.48,0.24,,,0.06,7.95,18,13,0.00,-7.95
Ka'imi Fairbairn,2556521,K,HOU,IND,2.31,0.13,,0.44,0.56,0.5,0.38,,,0.06,8.63,7,14,0.00,-8.63
Ryan Fitzgerald,2573979,K,CAR,@TB,1.92,0.06,,0.36,0.54,0.48,0.18,,,0.06,7.08,25,15,0.00,-7.08
Nick Folk,2507225,K,NYJ,@BUF,1.75,0.05,,0.32,0.48,0.43,0.16,,,0.05,6.36,31,16,0.00,-6.36
Graham Gano,71309,K,NYG,DAL,,,,,,,,,,,0.00,37,17,0.00,0.0
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,,38,18,0.00,
Zane Gonzalez,2558178,K,ATL,NO,2.25,0.25,,0.25,0.75,0.5,0.25,,,,7.75,19,19,0.00,-7.75
Blake Grupe,2571234,K,IND,@HOU,1.84,0.12,,0.36,0.48,0.42,0.3,,,,7.06,26,20,0.00,-7.06
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,39,21,0.00,
Lucas Havrisik,2569534,K,GB,@MIN,,,,,,,,,,,0.00,40,22,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,41,23,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,42,24,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,43,25,0.00,
Joshua Karty,2572201,K,ARI,@LAR,,,,,,,,,,,0.00,44,26,0.00,0.0
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,45,27,0.00,
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,,46,28,0.00,
Lenny Krieg,2573911,K,ATL,NO,,,,,,,,,,,0.00,47,29,0.00,0.0
Cam Little,2572147,K,JAX,TEN,2.84,0.15,,0.54,0.61,0.54,0.38,,,0.08,9.67,2,30,0.00,-9.67
Tyler Loop,2573940,K,BAL,@PIT,2.81,0.19,,0.31,0.5,0.56,0.25,,,0.06,7.97,16,31,0.00,-7.97
Wil Lutz,2556601,K,DEN,LAC,2.41,0.13,,0.47,0.54,0.47,0.4,,,0.07,8.73,5,32,0.00,-8.73
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,,48,33,0.00,
Chase McLaughlin,2563203,K,TB,CAR,2.63,0.13,,0.38,0.5,0.5,0.38,,,,8.65,6,34,0.00,-8.65
Brandon McManus,2541556,K,GB,@MIN,1.83,0.1,,0.36,0.41,0.41,0.25,,,,6.63,28,35,0.00,-6.63
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,49,36,0.00,
Evan McPherson,2565953,K,CIN,CLE,2.95,0.14,,0.41,0.55,0.55,0.34,,,0.07,9.10,3,37,0.00,-9.1
Harrison Mevis,2572932,K,LAR,ARI,2.53,0.32,,0.32,0.63,0.63,0.32,,,,8.22,13,38,0.00,-8.22
Jake Moody,2570308,K,WAS,@PHI,2.5,0.11,,0.28,0.51,0.45,0.23,,,0.06,7.32,21,39,0.00,-7.32
Jason Myers,2553112,K,SEA,@SF,2.49,0.15,,0.53,0.6,0.6,0.3,,,0.08,9.10,4,40,0.00,-9.1
Riley Patterson,2567013,K,MIA,@NE,2.26,0.17,,0.35,0.52,0.35,0.17,,,0.17,6.44,29,41,0.00,-6.44
Eddy Pineiro,2560842,K,SF,SEA,2.22,0.25,,0.25,0.74,0.49,0.25,,,,7.65,20,42,0.00,-7.65
Matt Prater,2506677,K,BUF,NYJ,2.67,0.24,,0.24,0.73,0.49,0.24,,,,8.02,15,43,0.00,-8.02
Will Reichard,2572273,K,MIN,GB,2.31,0.13,,0.38,0.5,0.5,0.38,,,0.06,8.27,12,44,0.00,-8.27
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,,50,45,0.00,
Chad Ryland,2570125,K,ARI,@LAR,1.98,0.12,,0.35,0.47,0.47,0.29,,,0.06,7.23,22,46,0.00,-7.23
Jason Sanders,2561153,K,MIA,@NE,,,,,,,,,,,0.00,51,47,0.00,0.0
Cairo Santos,2550636,K,CHI,DET,2.12,0.07,,0.48,0.55,0.61,0.27,,,0.07,8.58,9,48,0.00,-8.58
Ben Sauls,2574499,K,NYG,DAL,2.67,,,0.33,0.67,0.33,,,,,6.99,27,49,0.00,-6.99
Spencer Shrader,2573175,K,IND,@HOU,,,,,,,,,,,0.00,52,50,0.00,0.0
Joey Slye,2563132,K,TEN,@JAX,1.65,0.11,,0.34,0.4,0.4,0.28,,,0.06,6.37,30,51,0.00,-6.37
Charlie Smyth,2572330,K,NO,@ATL,1.47,0.18,,0.37,0.55,0.73,0.18,,,,7.14,23,52,0.00,-7.14
Andre Szmyt,2570470,K,CLE,@CIN,,,,,,,,,,,0.00,53,53,0.00,0.0
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,,54,54,0.00,
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,,55,55,0.00,
Matthew Wright,2562968,K,BUF,NYJ,,,,,,,,,,,0.00,56,56,0.00,0.0
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,57,57,0.00,
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,,58,58,0.00,
