PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Joey Slye,2563132,K,TEN,NO,1.69,0.12,,0.35,0.41,0.41,0.29,,,0.06,6.52,28,1,19.50,12.98
Brandon Aubrey,2571750,K,DAL,@WAS,2.65,0.07,,0.49,0.56,0.63,0.63,,,0.07,11.12,1,2,17.00,5.88
Will Reichard,2572273,K,MIN,DET,2.12,0.11,,0.34,0.46,0.46,0.34,,,0.06,7.56,21,3,16.00,8.44
Cam Little,2572147,K,JAX,@IND,2.68,0.15,,0.51,0.58,0.51,0.36,,,0.07,9.12,3,4,14.00,4.88
Jake Moody,2570308,K,WAS,DAL,2.64,0.12,,0.3,0.54,0.48,0.24,,,0.06,7.74,19,5,13.00,5.26
Charlie Smyth,2572330,K,NO,@TEN,1.27,0.16,,0.32,0.48,0.63,0.16,,,,6.19,30,6,13.00,6.81
Zane Gonzalez,2558178,K,ATL,LAR,2.14,0.24,,0.24,0.71,0.48,0.24,,,,7.39,22,7,12.00,4.61
Tyler Loop,2573940,K,BAL,@GB,2.57,0.17,,0.29,0.46,0.51,0.23,,,0.06,7.33,23,8,11.00,3.67
Harrison Butker,2558245,K,KC,DEN,2.23,0.1,0.05,0.31,0.41,0.36,0.31,,,,7.13,24,9,10.00,2.87
Ka'imi Fairbairn,2556521,K,HOU,@LAC,2.22,0.12,,0.42,0.54,0.48,0.36,,,0.06,8.28,12,10,10.00,1.72
Jason Myers,2553112,K,SEA,@CAR,2.47,0.15,,0.52,0.6,0.6,0.3,,,0.07,9.06,5,11,10.00,0.94
Ben Sauls,2574499,K,NYG,@LV,2.56,,,0.32,0.64,0.32,,,,,6.72,26,12,10.00,3.28
Andre Szmyt,2570470,K,CLE,PIT,,,,,,,,,,,0.00,53,13,9.00,9.0
Chris Boswell,2550545,K,PIT,@CLE,2.1,0.06,,0.43,0.56,0.5,0.37,,,,8.62,8,14,8.00,-0.62
Jake Elliott,2558172,K,PHI,@BUF,2.67,0.12,,0.42,0.48,0.48,0.24,,,0.06,7.95,15,15,8.00,0.05
Wil Lutz,2556601,K,DEN,@KC,2.35,0.13,,0.46,0.52,0.46,0.39,,,0.07,8.49,10,16,8.00,-0.49
Riley Patterson,2567013,K,MIA,TB,2.44,0.19,,0.38,0.56,0.38,0.19,,,0.19,6.97,25,17,8.00,1.03
Cairo Santos,2550636,K,CHI,@SF,1.94,0.06,,0.44,0.5,0.56,0.25,,,0.06,7.88,17,18,8.00,0.12
Brandon McManus,2541556,K,GB,BAL,2.17,0.12,,0.42,0.48,0.48,0.3,,,,7.81,18,19,6.00,-1.81
Evan McPherson,2565953,K,CIN,ARI,2.96,0.14,,0.41,0.55,0.55,0.34,,,0.07,9.11,4,20,6.00,-3.11
Harrison Mevis,2572932,K,LAR,@ATL,2.42,0.3,,0.3,0.61,0.61,0.3,,,,7.89,16,21,6.00,-1.89
Eddy Pineiro,2560842,K,SF,CHI,2.36,0.26,,0.26,0.79,0.52,0.26,,,,8.11,13,22,6.00,-2.11
Jake Bates,2571759,K,DET,@MIN,3.11,0.13,,0.33,0.53,0.53,0.4,,,0.07,9.22,2,23,5.00,-4.22
Andy Borregales,2574365,K,NE,@NYJ,2.58,0.15,,0.44,0.59,0.59,0.22,,,0.07,8.46,11,24,5.00,-3.46
Daniel Carlson,2560993,K,LV,NYG,2.13,0.06,,0.44,0.44,0.5,0.44,,,,8.66,7,25,5.00,-3.66
Blake Grupe,2571234,K,IND,JAX,2.08,0.13,,0.4,0.54,0.47,0.34,,,,7.96,14,26,5.00,-2.96
Chase McLaughlin,2563203,K,TB,@MIA,2.69,0.13,,0.38,0.51,0.51,0.38,,,,8.78,6,27,5.00,-3.78
Ryan Fitzgerald,2573979,K,CAR,SEA,1.82,0.06,,0.34,0.51,0.45,0.17,,,0.06,6.67,27,28,4.00,-2.67
Nick Folk,2507225,K,NYJ,NE,1.77,0.05,,0.32,0.48,0.43,0.16,,,0.05,6.38,29,29,4.00,-2.38
Chad Ryland,2570125,K,ARI,@CIN,2.13,0.13,,0.38,0.5,0.5,0.31,,,0.06,7.74,20,30,2.00,-5.74
Tyler Bass,2563596,K,BUF,PHI,,,,,,,,,,,0.00,32,31,0.00,0.0
Anders Carlson,2569750,K,FA,Bye,,,,,,,,,,,,33,32,0.00,
Ryan Coe,2574584,K,FA,Bye,,,,,,,,,,,,34,33,0.00,
Caden Davis,2574436,K,FA,Bye,,,,,,,,,,,,35,34,0.00,
Cameron Dicker,2568435,K,LAC,HOU,2.28,0.12,0.06,0.35,0.53,0.53,0.35,,,,8.55,9,35,0.00,-8.55
Graham Gano,71309,K,NYG,@LV,,,,,,,,,,,0.00,36,36,0.00,0.0
Matt Gay,2562271,K,FA,Bye,,,,,,,,,,,,37,37,0.00,
Alex Hale,2573890,K,FA,Bye,,,,,,,,,,,,38,38,0.00,
Lucas Havrisik,2569534,K,GB,BAL,,,,,,,,,,,0.00,39,39,0.00,0.0
Dustin Hopkins,2539227,K,FA,Bye,,,,,,,,,,,,40,40,0.00,
John Hoyland,2573932,K,FA,Bye,,,,,,,,,,,,41,41,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,42,42,0.00,
Joshua Karty,2572201,K,ARI,@CIN,,,,,,,,,,,0.00,43,43,0.00,0.0
Jonathan Kim,2574013,K,FA,Bye,,,,,,,,,,,,44,44,0.00,
Younghoe Koo,2559205,K,FA,Bye,,,,,,,,,,,,45,45,0.00,
Lenny Krieg,2573911,K,ATL,LAR,,,,,,,,,,,0.00,46,46,0.00,0.0
Jude McAtamney,2573503,K,FA,Bye,,,,,,,,,,,,47,47,0.00,
Mark McNamee,2574637,K,FA,Bye,,,,,,,,,,,,48,48,0.00,
Matt Prater,2506677,K,BUF,PHI,,,,,,,,,,,0.00,49,49,0.00,0.0
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,,50,50,0.00,
Jason Sanders,2561153,K,MIA,TB,,,,,,,,,,,0.00,51,51,0.00,0.0
Spencer Shrader,2573175,K,IND,JAX,,,,,,,,,,,0.00,52,52,0.00,0.0
Maddux Trujillo,2574200,K,FA,Bye,,,,,,,,,,,,54,53,0.00,
Justin Tucker,2536340,K,FA,Bye,,,,,,,,,,,,55,54,0.00,
Matthew Wright,2562968,K,BUF,PHI,,,,,,,,,,,0.00,56,55,0.00,0.0
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,57,56,0.00,
Greg Zuerlein,2534797,K,FA,Bye,,,,,,,,,,,,58,57,0.00,
Mike Badgley,2560965,K,FA,Bye,,,,,,,,,,,,31,58,-3.00,
